,_id,power_law_exponent,temperature,number_of_nodes,number_of_edges,average_degree,heterogeneity,average_clustering,experiment_id,approximately_diameter
0,6462b60540fecf008c787eb6,2.1,0,42235,57752,2.7336518962949605,0.8867963066943215,0.19372308725995524,6462b15e40fecf008c787eb4,17.8
1,6462b66a40fecf008c787eb8,2.1,0.4,43546,91679,4.209486808752345,0.8297628981110348,0.32694160165805985,6462b15e40fecf008c787eb4,11.6
2,6462b6f240fecf008c787eba,2.1,0.53,44132,112775,5.109944230057784,0.8301193977728507,0.33146400141202387,6462b15e40fecf008c787eb4,10.4
3,6462b7d740fecf008c787ebc,2.1,0.62,44301,128492,5.798769782184657,0.8925439807951324,0.31565950837153756,6462b15e40fecf008c787eb4,9.8
4,6462b8d740fecf008c787ebe,2.1,0.7,44877,148552,6.6193082892172015,0.8538711508822603,0.2792532893021798,6462b15e40fecf008c787eb4,9.6
5,6462b9d740fecf008c787ec0,2.1,0.76,45244,162232,7.170002572852532,0.8141056963886302,0.24984291461865102,6462b15e40fecf008c787eb4,9.6
6,6462bb0d40fecf008c787ec2,2.1,0.82,45759,176523,7.714126694560205,0.8167393867216483,0.21459759169866502,6462b15e40fecf008c787eb4,10.0
7,6462bc5e40fecf008c787ec4,2.1,0.88,46625,194404,8.336624398110736,0.7803392830207738,0.1661666489741429,6462b15e40fecf008c787eb4,9.4
8,6462bdc340fecf008c787ec6,2.1,0.94,47257,206722,8.747939834129165,0.7762402016953436,0.13385298529022652,6462b15e40fecf008c787eb4,9.0
9,6462bee240fecf008c787ec8,2.1,0.9999,47953,221158,9.223265833051592,0.7044329639892899,0.09144739549821597,6462b15e40fecf008c787eb4,9.2
10,6462bf1040fecf008c787eca,2.25,0,45006,65669,2.9179716657737,0.8103334394771448,0.22458932169156925,6462b15e40fecf008c787eb4,22.4
11,6462bf8640fecf008c787ecc,2.25,0.4,46402,103410,4.456351480562982,0.8088295984401643,0.34256734157894503,6462b15e40fecf008c787eb4,12.2
12,6462bfe740fecf008c787ece,2.25,0.53,47076,129989,5.522495636394418,0.6851609249745996,0.32686462732767385,6462b15e40fecf008c787eb4,11.2
13,6462c06a40fecf008c787ed0,2.25,0.62,47347,148623,6.277717412107018,0.7066902378130925,0.2917084247260421,6462b15e40fecf008c787eb4,10.6
14,6462c16140fecf008c787ed2,2.25,0.7,47472,165315,6.9620305162786496,0.7841418616857724,0.2515493171122703,6462b15e40fecf008c787eb4,9.8
15,6462c27b40fecf008c787ed4,2.25,0.76,47787,179114,7.496019760662433,0.8046595127736115,0.21420063365929845,6462b15e40fecf008c787eb4,10.4
16,6462c32840fecf008c787ed6,2.25,0.82,48304,200460,8.299859458572673,0.6376904640344525,0.14594102429851288,6462b15e40fecf008c787eb4,9.4
17,6462c42440fecf008c787ed8,2.25,0.88,48551,211224,8.700835047608487,0.69854234493655,0.11484250375914525,6462b15e40fecf008c787eb4,8.8
18,6462c52340fecf008c787eda,2.25,0.94,48815,221753,9.084824153228126,0.6659663492009502,0.08624740312192451,6462b15e40fecf008c787eb4,9.0
19,6462c63640fecf008c787edc,2.25,0.9999,49026,229468,9.361006116206376,0.6956124838136568,0.06493903269244161,6462b15e40fecf008c787eb4,9.2
20,6462c64940fecf008c787ede,2.4,0,47114,73788,3.132262120501247,0.46221892797465713,0.2431768359934471,6462b15e40fecf008c787eb4,33.8
21,6462c68540fecf008c787ee0,2.4,0.4,47830,111380,4.657346009027378,0.6303744647693805,0.34726167960984533,6462b15e40fecf008c787eb4,13.2
22,6462c6f540fecf008c787ee2,2.4,0.53,48204,136757,5.673680020765817,0.6370402213227397,0.320932169642539,6462b15e40fecf008c787eb4,11.4
23,6462c77e40fecf008c787ee4,2.4,0.62,48510,158330,6.5276047288580585,0.6720583049964514,0.272024719555178,6462b15e40fecf008c787eb4,10.6
24,6462c80040fecf008c787ee6,2.4,0.7,48825,180092,7.376359560022324,0.5958284689123311,0.20883746088641814,6462b15e40fecf008c787eb4,9.4
25,6462c88740fecf008c787ee8,2.4,0.76,48990,195434,7.978440032885362,0.5812351277598268,0.15974899449402322,6462b15e40fecf008c787eb4,10.0
26,6462c8f740fecf008c787eea,2.4,0.82,49239,212147,8.616990354896561,0.48648887630177223,0.1056771556182925,6462b15e40fecf008c787eb4,9.2
27,6462c99640fecf008c787eec,2.4,0.88,49339,221604,8.982815853376628,0.5543251954333132,0.07894791030022583,6462b15e40fecf008c787eb4,9.0
28,6462ca0f40fecf008c787eee,2.4,0.94,49468,232335,9.39326676573209,0.4594213199883518,0.046074903967614954,6462b15e40fecf008c787eb4,8.2
29,6462ca8540fecf008c787ef0,2.4,0.9999,49574,239020,9.642875541489738,0.4495349966770993,0.028327363222480428,6462b15e40fecf008c787eb4,8.6
30,6462caac40fecf008c787ef2,2.55,0,47910,76856,3.2081233800813522,0.5110363540710677,0.25042944427077923,6462b15e40fecf008c787eb4,40.8
31,6462cad040fecf008c787ef4,2.55,0.4,48688,117803,4.839109983548524,0.43047206738565935,0.34407681755280767,6462b15e40fecf008c787eb4,16.0
32,6462cb0940fecf008c787ef6,2.55,0.53,49003,144316,5.890088661814823,0.4893087894635748,0.3055577836913034,6462b15e40fecf008c787eb4,11.8
33,6462cb5340fecf008c787ef8,2.55,0.62,49159,166320,6.766592421344659,0.47064423767785196,0.24745304047349964,6462b15e40fecf008c787eb4,10.8
34,6462cbc240fecf008c787efa,2.55,0.7,49360,187293,7.588772561433508,0.53007824489418,0.18371735327978606,6462b15e40fecf008c787eb4,10.0
35,6462cc0940fecf008c787efc,2.55,0.76,49515,204274,8.251046056801417,0.3758704464591631,0.12665660045475452,6462b15e40fecf008c787eb4,9.6
36,6462cc9940fecf008c787efe,2.55,0.82,49575,215839,8.707334560643826,0.44396579250357504,0.09245979385199532,6462b15e40fecf008c787eb4,8.8
37,6462cd0a40fecf008c787f00,2.55,0.88,49659,227842,9.176245444839488,0.4304867336835648,0.05567098140299055,6462b15e40fecf008c787eb4,9.0
38,6462cd6740fecf008c787f02,2.55,0.94,49689,236305,9.51133590056665,0.37453635400571883,0.032277927639218586,6462b15e40fecf008c787eb4,8.8
39,6462cdc240fecf008c787f04,2.55,0.9999,49773,241869,9.718872693339183,0.3312681351319332,0.018965401924980873,6462b15e40fecf008c787eb4,8.2
40,6462cdd040fecf008c787f06,2.75,0,48631,80758,3.3212557349221434,0.20087569977234984,0.249385493370887,6462b15e40fecf008c787eb4,52.8
41,6462cde740fecf008c787f08,2.75,0.4,49209,122082,4.961782652035221,0.23031331380566292,0.3367070135326719,6462b15e40fecf008c787eb4,20.4
42,6462ce0d40fecf008c787f0a,2.75,0.53,49446,149676,6.05406599426818,0.30802931341979517,0.28633347017596134,6462b15e40fecf008c787eb4,13.2
43,6462ce3440fecf008c787f0c,2.75,0.62,49571,172599,6.963643593162561,0.2510052071851791,0.22078840924527654,6462b15e40fecf008c787eb4,11.2
