,_id,n,m,number_of_nodes,number_of_edges,average_degree,experiment_id
52,648589b0695bcbba5c236f53,60000,300000,57952,157929,5.4503114104786405,648588fa695bcbba5c236ed3
53,648589b2695bcbba5c236f55,60000,400000,58896,186795,6.342878508437595,648588fa695bcbba5c236ed3
54,648589b7695bcbba5c236f57,60000,500000,59451,219818,7.39493638656148,648588fa695bcbba5c236ed3
55,648589ba695bcbba5c236f59,60000,600000,59671,243772,8.170428322800669,648588fa695bcbba5c236ed3
56,648589be695bcbba5c236f5b,60000,700000,59763,265450,8.883303291660663,648588fa695bcbba5c236ed3
57,648589c1695bcbba5c236f5d,60000,800000,59868,288622,9.641997167501419,648588fa695bcbba5c236ed3
58,648589c7695bcbba5c236f5f,60000,900000,59904,307929,10.280814183606243,648588fa695bcbba5c236ed3
59,648589a9695bcbba5c236f4d,60000,1000000,59919,323886,10.810819492148658,648588fa695bcbba5c236ed3
60,648589cd695bcbba5c236f63,70000,100000,51516,72940,2.8316747406517857,648588fa695bcbba5c236ed3
61,648589d0695bcbba5c236f65,70000,200000,62530,123793,3.9591038740640707,648588fa695bcbba5c236ed3
62,648589d3695bcbba5c236f67,70000,300000,66607,166816,5.0089004631538545,648588fa695bcbba5c236ed3
63,648589d7695bcbba5c236f69,70000,400000,68158,199602,5.856872711299199,648588fa695bcbba5c236ed3
64,648589db695bcbba5c236f6b,70000,500000,68923,229827,6.668986941194494,648588fa695bcbba5c236ed3
65,648589df695bcbba5c236f6d,70000,600000,69362,259195,7.473593437170235,648588fa695bcbba5c236ed3
66,648589e3695bcbba5c236f6f,70000,700000,69509,279588,8.043120241493776,648588fa695bcbba5c236ed3
67,648589e7695bcbba5c236f71,70000,800000,69730,303593,8.707508941238796,648588fa695bcbba5c236ed3
68,648589ed695bcbba5c236f73,70000,900000,69810,330992,9.482584715350159,648588fa695bcbba5c236ed3
69,648589cb695bcbba5c236f61,70000,1000000,69846,346855,9.931847994484855,648588fa695bcbba5c236ed3
70,648589f2695bcbba5c236f77,80000,100000,56433,75567,2.678126797640983,648588fa695bcbba5c236ed3
71,648589f5695bcbba5c236f79,80000,200000,69659,129266,3.71132081021092,648588fa695bcbba5c236ed3
72,648589f7695bcbba5c236f7b,80000,300000,74909,172924,4.616828770001223,648588fa695bcbba5c236ed3
73,648589fb695bcbba5c236f7d,80000,400000,77072,208830,5.418884844715183,648588fa695bcbba5c236ed3
74,648589fe695bcbba5c236f7f,80000,500000,78335,242035,6.179278136006961,648588fa695bcbba5c236ed3
75,64858a03695bcbba5c236f81,80000,600000,78988,272410,6.89746876039941,648588fa695bcbba5c236ed3
76,64858a07695bcbba5c236f83,80000,700000,79155,286355,7.234219607306807,648588fa695bcbba5c236ed3
77,64858a0b695bcbba5c236f85,80000,800000,79512,321348,8.082961128915134,648588fa695bcbba5c236ed3
78,64858a10695bcbba5c236f87,80000,900000,79605,337868,8.488343830466004,648588fa695bcbba5c236ed3
79,648589f1695bcbba5c236f75,80000,1000000,79763,369284,9.259454073823347,648588fa695bcbba5c236ed3
80,64858a19695bcbba5c236f8b,90000,100000,59909,76563,2.5559810416243813,648588fa695bcbba5c236ed3
81,64858a1b695bcbba5c236f8d,90000,200000,75844,131729,3.473506871305549,648588fa695bcbba5c236ed3
82,64858a1e695bcbba5c236f8f,90000,300000,82674,178388,4.315090518368589,648588fa695bcbba5c236ed3
83,64858a23695bcbba5c236f91,90000,400000,85580,215303,5.031263064572821,648588fa695bcbba5c236ed3
84,64858a28695bcbba5c236f93,90000,500000,87592,253590,5.790223771859191,648588fa695bcbba5c236ed3
85,64858a2d695bcbba5c236f95,90000,600000,88370,283306,6.411813782428256,648588fa695bcbba5c236ed3
86,64858a33695bcbba5c236f97,90000,700000,88931,313298,7.0457368414273205,648588fa695bcbba5c236ed3
87,64858a39695bcbba5c236f99,90000,800000,89234,337317,7.560223012709085,648588fa695bcbba5c236ed3
88,64858a3d695bcbba5c236f9b,90000,900000,89403,361775,8.093074097346365,648588fa695bcbba5c236ed3
89,64858a16695bcbba5c236f89,90000,1000000,89626,388465,8.668564017049396,648588fa695bcbba5c236ed3
90,64858902695bcbba5c236ed7,100000,100000,64323,78807,2.4503864197032597,648588fa695bcbba5c236ed3
91,64858905695bcbba5c236ed9,100000,200000,82898,137785,3.3241915048607447,648588fa695bcbba5c236ed3
92,64858909695bcbba5c236edb,100000,300000,90277,183762,4.070792909913086,648588fa695bcbba5c236ed3
93,6485890d695bcbba5c236edd,100000,400000,94559,227319,4.807996291799403,648588fa695bcbba5c236ed3
94,64858913695bcbba5c236edf,100000,500000,96577,262548,5.43704999380982,648588fa695bcbba5c236ed3
95,64858918695bcbba5c236ee1,100000,600000,97479,290664,5.963592392256348,648588fa695bcbba5c236ed3
96,6485891f695bcbba5c236ee3,100000,700000,98512,328086,6.660789618601794,648588fa695bcbba5c236ed3
97,64858925695bcbba5c236ee5,100000,800000,98885,353335,7.1463901818799345,648588fa695bcbba5c236ed3
98,6485892a695bcbba5c236ee7,100000,900000,99170,377084,7.604699781828307,648588fa695bcbba5c236ed3
99,64858900695bcbba5c236ed5,100000,1000000,99440,402296,8.091137355257144,648588fa695bcbba5c236ed3
