,_id,n,m,number_of_nodes,number_of_edges,average_degree,experiment_id
50,64808ccf00ab080fd8f10cfa,60000,100000,57071,81027,2.839519915085602,64808c2a00ab080fd8f10c80
51,64808cd200ab080fd8f10cfc,60000,200000,59784,139272,4.659159962830282,64808c2a00ab080fd8f10c80
52,64808cd600ab080fd8f10cfe,60000,300000,59975,185614,6.18968464761704,64808c2a00ab080fd8f10c80
53,64808cda00ab080fd8f10d00,60000,400000,59999,224531,7.484503014375096,64808c2a00ab080fd8f10c80
54,64808cde00ab080fd8f10d02,60000,500000,60000,258987,8.632899999999998,64808c2a00ab080fd8f10c80
55,64808ce300ab080fd8f10d04,60000,600000,60000,289739,9.658005529092152,64808c2a00ab080fd8f10c80
56,64808ce700ab080fd8f10d06,60000,700000,60000,318100,10.603326666666668,64808c2a00ab080fd8f10c80
57,64808ced00ab080fd8f10d08,60000,800000,60000,344567,11.485566666666667,64808c2a00ab080fd8f10c80
58,64808cf200ab080fd8f10d0a,60000,900000,60000,368898,12.296593333333334,64808c2a00ab080fd8f10c80
59,64808ccc00ab080fd8f10cf8,60000,1000000,60000,391885,13.062846666666667,64808c2a00ab080fd8f10c80
60,64808cfa00ab080fd8f10d0e,70000,100000,64915,83225,2.564130225782268,64808c2a00ab080fd8f10c80
61,64808cfc00ab080fd8f10d10,70000,200000,69476,144706,4.165675143543402,64808c2a00ab080fd8f10c80
62,64808d0000ab080fd8f10d12,70000,300000,69931,194549,5.564053357056348,64808c2a00ab080fd8f10c80
63,64808d0400ab080fd8f10d14,70000,400000,69989,237034,6.773478053066606,64808c2a00ab080fd8f10c80
64,64808d0800ab080fd8f10d16,70000,500000,69998,274115,7.832047101923941,64808c2a00ab080fd8f10c80
65,64808d0c00ab080fd8f10d18,70000,600000,69999,307546,8.787179262609106,64808c2a00ab080fd8f10c80
66,64808d1000ab080fd8f10d1a,70000,700000,70000,338230,9.663720000000001,64808c2a00ab080fd8f10c80
67,64808d1400ab080fd8f10d1c,70000,800000,70000,366493,10.471222857142859,64808c2a00ab080fd8f10c80
68,64808d1800ab080fd8f10d1e,70000,900000,70000,393290,11.236868571428573,64808c2a00ab080fd8f10c80
69,64808cf800ab080fd8f10d0c,70000,1000000,70000,418441,11.955468571428572,64808c2a00ab080fd8f10c80
70,64808d1f00ab080fd8f10d22,80000,100000,72174,84888,2.3523212527532005,64808c2a00ab080fd8f10c80
71,64808d2200ab080fd8f10d24,80000,200000,78963,149421,3.784573301666724,64808c2a00ab080fd8f10c80
72,64808d2400ab080fd8f10d26,80000,300000,79832,202215,5.066038926675913,64808c2a00ab080fd8f10c80
73,64808d2800ab080fd8f10d28,80000,400000,79970,247314,6.185149243974114,64808c2a00ab080fd8f10c80
74,64808d2c00ab080fd8f10d2a,80000,500000,79994,287551,7.189286253218685,64808c2a00ab080fd8f10c80
75,64808d3000ab080fd8f10d2c,80000,600000,79998,323216,8.080551578857152,64808c2a00ab080fd8f10c80
76,64808d3500ab080fd8f10d2e,80000,700000,80000,355805,8.895159452243153,64808c2a00ab080fd8f10c80
77,64808d3b00ab080fd8f10d30,80000,800000,80000,386284,9.6571,64808c2a00ab080fd8f10c80
78,64808d3f00ab080fd8f10d32,80000,900000,80000,415014,10.375345,64808c2a00ab080fd8f10c80
79,64808d1d00ab080fd8f10d20,80000,1000000,80000,441978,11.049449999999998,64808c2a00ab080fd8f10c80
80,64808d4800ab080fd8f10d36,90000,100000,78765,86289,2.1910645570905136,64808c2a00ab080fd8f10c80
81,64808d4b00ab080fd8f10d38,90000,200000,88183,153290,3.4766467838617197,64808c2a00ab080fd8f10c80
82,64808d4e00ab080fd8f10d3a,90000,300000,89666,208907,4.659664385090037,64808c2a00ab080fd8f10c80
83,64808d5200ab080fd8f10d3c,90000,400000,89923,256483,5.70446837599838,64808c2a00ab080fd8f10c80
84,64808d5600ab080fd8f10d3e,90000,500000,89981,298741,6.640070151937667,64808c2a00ab080fd8f10c80
85,64808d5b00ab080fd8f10d40,90000,600000,89997,337141,7.4922930878681955,64808c2a00ab080fd8f10c80
86,64808d6100ab080fd8f10d42,90000,700000,89999,372029,8.26739854986433,64808c2a00ab080fd8f10c80
87,64808d6500ab080fd8f10d44,90000,800000,90000,404369,8.985977777777778,64808c2a00ab080fd8f10c80
88,64808d6a00ab080fd8f10d46,90000,900000,90000,434795,9.66211111111111,64808c2a00ab080fd8f10c80
89,64808d4600ab080fd8f10d34,90000,1000000,90000,463534,10.300755555555558,64808c2a00ab080fd8f10c80
90,64808c2e00ab080fd8f10c82,100000,100000,84783,87512,2.0643569114451497,64808c2a00ab080fd8f10c80
91,64808c3300ab080fd8f10c84,100000,200000,97154,156714,3.2260986688050393,64808c2a00ab080fd8f10c80
92,64808c3800ab080fd8f10c86,100000,300000,99401,214631,4.318504489688797,64808c2a00ab080fd8f10c80
93,64808c3f00ab080fd8f10c88,100000,400000,99845,264768,5.303610193546767,64808c2a00ab080fd8f10c80
94,64808c4700ab080fd8f10c8a,100000,500000,99961,309230,6.1870004576324,64808c2a00ab080fd8f10c80
95,64808c4c00ab080fd8f10c8c,100000,600000,99991,349524,6.991105271996169,64808c2a00ab080fd8f10c80
96,64808c5100ab080fd8f10c8e,100000,700000,99997,386524,7.730750790867832,64808c2a00ab080fd8f10c80
97,64808c5700ab080fd8f10c90,100000,800000,100000,420869,8.41741368121681,64808c2a00ab080fd8f10c80
98,64808c5d00ab080fd8f10c92,100000,900000,99999,452929,9.05863028310464,64808c2a00ab080fd8f10c80
99,648403adcd39d21031ac0f46,100000,1000000,100000,483434,9.66871,648403accd39d21031ac0f44
