,_id,n,m,number_of_nodes,number_of_edges,average_degree,experiment_id
53,64775bf088932c4e065e30ec,60000,400000,58016,96418,3.3238040142361145,64775ba188932c4e065e306a
54,64775bf188932c4e065e30ee,60000,500000,58666,102178,3.4832398429882874,64775ba188932c4e065e306a
55,64775bf388932c4e065e30f0,60000,600000,59149,108290,3.6615759380681028,64775ba188932c4e065e306a
56,64775bf688932c4e065e30f2,60000,700000,59320,110745,3.733717979410091,64775ba188932c4e065e306a
57,64775bf788932c4e065e30f4,60000,800000,59506,113570,3.8169931573117566,64775ba188932c4e065e306a
58,64775bfa88932c4e065e30f6,60000,900000,59605,116330,3.9033746315937443,64775ba188932c4e065e306a
59,64775be988932c4e065e30e4,60000,1000000,59686,120065,4.023245339327933,64775ba188932c4e065e306a
60,64775bfd88932c4e065e30fa,70000,100000,50175,55492,2.2119383685389016,64775ba188932c4e065e306a
61,64775bfe88932c4e065e30fc,70000,200000,61036,81173,2.6598457808099996,64775ba188932c4e065e306a
62,64775c0088932c4e065e30fe,70000,300000,64833,95430,2.94340853475395,64775ba188932c4e065e306a
63,64775c0288932c4e065e3100,70000,400000,67078,107597,3.2081214502274404,64775ba188932c4e065e306a
64,64775c0488932c4e065e3102,70000,500000,67985,114894,3.3798925432530127,64775ba188932c4e065e306a
65,64775c0688932c4e065e3104,70000,600000,68612,121211,3.53316867156625,64775ba188932c4e065e306a
66,64775c0888932c4e065e3106,70000,700000,68984,126250,3.6602763296990637,64775ba188932c4e065e306a
67,64775c0988932c4e065e3108,70000,800000,69250,130258,3.7619688439439116,64775ba188932c4e065e306a
68,64775c0c88932c4e065e310a,70000,900000,69391,132886,3.8300651905255707,64775ba188932c4e065e306a
69,64775bfc88932c4e065e30f8,70000,1000000,69503,135148,3.8888500979332634,64775ba188932c4e065e306a
70,64775c1088932c4e065e310e,80000,100000,55084,59000,2.142183839375657,64775ba188932c4e065e306a
71,64775c1388932c4e065e3110,80000,200000,67792,87167,2.5715455503885396,64775ba188932c4e065e306a
72,64775c1588932c4e065e3112,80000,300000,73131,105159,2.8758181668415546,64775ba188932c4e065e306a
73,64775c1788932c4e065e3114,80000,400000,75757,117606,3.104766828092347,64775ba188932c4e065e306a
74,64775c1b88932c4e065e3116,80000,500000,76842,124190,3.232211727056299,64775ba188932c4e065e306a
75,64775c1d88932c4e065e3118,80000,600000,77609,129937,3.348390263267267,64775ba188932c4e065e306a
76,64775c2088932c4e065e311a,80000,700000,78490,139421,3.5525257966600465,64775ba188932c4e065e306a
77,64775c2488932c4e065e311c,80000,800000,78831,144334,3.661787455758808,64775ba188932c4e065e306a
78,64775c2688932c4e065e311e,80000,900000,79099,148117,3.745017782429265,64775ba188932c4e065e306a
79,64775c0e88932c4e065e310c,80000,1000000,79237,151287,3.818573423048919,64775ba188932c4e065e306a
80,64775c2c88932c4e065e3122,90000,100000,57935,60206,2.0784065964392378,64775ba188932c4e065e306a
81,64775c2e88932c4e065e3124,90000,200000,73888,91553,2.4780502494895877,64775ba188932c4e065e306a
82,64775c3188932c4e065e3126,90000,300000,80882,112696,2.7866521781209053,64775ba188932c4e065e306a
83,64775c3488932c4e065e3128,90000,400000,83015,121576,2.928366780561298,64775ba188932c4e065e306a
84,64775c3688932c4e065e312a,90000,500000,85582,133929,3.129621182765312,64775ba188932c4e065e306a
85,64775c3988932c4e065e312c,90000,600000,87193,145698,3.3419082926846357,64775ba188932c4e065e306a
86,64775c3c88932c4e065e312e,90000,700000,87873,152148,3.462893137286964,64775ba188932c4e065e306a
87,64775c3e88932c4e065e3130,90000,800000,88158,154217,3.4985489697608365,64775ba188932c4e065e306a
88,64775c3f88932c4e065e3132,90000,900000,88731,162391,3.660197145024341,64775ba188932c4e065e306a
89,64775c2988932c4e065e3120,90000,1000000,88822,163328,3.6775127227499325,64775ba188932c4e065e306a
90,64775ba588932c4e065e306e,100000,100000,61866,62774,2.029553035224223,64775ba188932c4e065e306a
91,64775ba688932c4e065e3070,100000,200000,79825,96371,2.414471100281852,64775ba188932c4e065e306a
92,64775ba888932c4e065e3072,100000,300000,88218,119409,2.707104864410822,64775ba188932c4e065e306a
93,64775baa88932c4e065e3074,100000,400000,92162,134421,2.9169674708416387,64775ba188932c4e065e306a
94,64775bac88932c4e065e3076,100000,500000,94532,146041,3.0897304455687706,64775ba188932c4e065e306a
95,64775bae88932c4e065e3078,100000,600000,96243,156604,3.254348275789723,64775ba188932c4e065e306a
96,64775bb088932c4e065e307a,100000,700000,96930,162391,3.350680647079333,64775ba188932c4e065e306a
97,64775bb288932c4e065e307c,100000,800000,97688,169538,3.4709673235624896,64775ba188932c4e065e306a
98,64775bb588932c4e065e307e,100000,900000,98073,173328,3.534495147650527,64775ba188932c4e065e306a
99,64775ba488932c4e065e306c,100000,1000000,98533,179686,3.647201502524608,64775ba188932c4e065e306a
