,_id,param_config,number_of_nodes,number_of_edges,average_degree,heterogeneity,average_clustering,experiment_id
53,6463f5a1d6b97248fd04bb4c,ple5_t3,49905,250063,10.02163892259817,0.16687855725874096,0.37556037865051267,646397c7d6b97248fd04bae0
54,6463f5e6d6b97248fd04bb4e,ple5_t4,49905,250031,10.020220912537237,0.22788631925509203,0.29506022869632875,646397c7d6b97248fd04bae0
55,6463f61fd6b97248fd04bb50,ple5_t5,49917,250271,10.027415223659819,0.1538842034279533,0.23237767911185703,646397c7d6b97248fd04bae0
56,6463f65cd6b97248fd04bb52,ple5_t6,49922,250167,10.02224336486742,0.17872751668141312,0.17310023774219188,646397c7d6b97248fd04bae0
57,6463f693d6b97248fd04bb54,ple5_t7,49927,250211,10.023113376420948,0.12774490681370781,0.12471611882818409,646397c7d6b97248fd04bae0
58,6463f6c6d6b97248fd04bb56,ple5_t8,49943,250325,10.024488695540331,0.08059287229298814,0.08186630359662794,646397c7d6b97248fd04bae0
59,6463f6fbd6b97248fd04bb58,ple5_t9,49945,250050,10.012989593546177,0.08957461976596952,0.05468567107833507,646397c7d6b97248fd04bae0
60,6463f722d6b97248fd04bb5a,ple6_t0,49929,249985,10.013545147518155,-0.01775707323721728,0.6414261332156356,646397c7d6b97248fd04bae0
61,6463f749d6b97248fd04bb5c,ple6_t1,49947,250056,10.012942581069739,-0.017664372861565227,0.531216768549222,646397c7d6b97248fd04bae0
62,6463f777d6b97248fd04bb5e,ple6_t2,49952,250238,10.019138404731352,0.059259420879585765,0.4342695377528557,646397c7d6b97248fd04bae0
63,6463f7a1d6b97248fd04bb60,ple6_t3,49954,249880,10.004421215985694,-0.01311076761516965,0.34829617347708497,646397c7d6b97248fd04bae0
64,6463f7ccd6b97248fd04bb62,ple6_t4,49961,250000,10.007749194702475,0.007165694988789756,0.2695654873797922,646397c7d6b97248fd04bae0
65,6463f7f5d6b97248fd04bb64,ple6_t5,49955,250119,10.013811488184023,-0.020498303315808215,0.2109132822781267,646397c7d6b97248fd04bae0
66,6463f822d6b97248fd04bb66,ple6_t6,49958,249804,10.000463714312755,0.025297738279447278,0.1569678625833803,646397c7d6b97248fd04bae0
67,6463f84bd6b97248fd04bb68,ple6_t7,49962,250167,10.014234348163189,-0.04343582143929971,0.1115389534432745,646397c7d6b97248fd04bae0
68,6463f875d6b97248fd04bb6a,ple6_t8,49966,250190,10.01450619122374,-0.04819461613516224,0.0729017234731443,646397c7d6b97248fd04bae0
69,6463f89cd6b97248fd04bb6c,ple6_t9,49967,249868,10.001336972408698,-0.09628995945344146,0.047196717025524595,646397c7d6b97248fd04bae0
70,6463f8bdd6b97248fd04bb6e,ple7_t0,49967,249817,9.999184586153808,-0.1722637033905612,0.6160102730754746,646397c7d6b97248fd04bae0
71,6463f8ded6b97248fd04bb70,ple7_t1,49977,250295,10.016358970653942,-0.1757327995918529,0.5050028122148191,646397c7d6b97248fd04bae0
72,6463f902d6b97248fd04bb72,ple7_t2,49977,250238,10.01419045529197,-0.17868937388214773,0.4089291544170538,646397c7d6b97248fd04bae0
73,6463f924d6b97248fd04bb74,ple7_t3,49980,250262,10.014405609927731,-0.18285870848805555,0.3257099468532033,646397c7d6b97248fd04bae0
74,6463f947d6b97248fd04bb76,ple7_t4,49978,250212,10.012861816748643,-0.1667186751572634,0.25159128163868016,646397c7d6b97248fd04bae0
75,6463f96bd6b97248fd04bb78,ple7_t5,49976,249845,9.998671441305401,-0.16260411889410442,0.19700607303958612,646397c7d6b97248fd04bae0
76,6463f98fd6b97248fd04bb7a,ple7_t6,49983,249625,9.988308272068036,-0.15522490487205873,0.1434744555813374,646397c7d6b97248fd04bae0
77,6463f9b4d6b97248fd04bb7c,ple7_t7,49983,250145,10.00917162408992,-0.19836137192175113,0.10263710239796706,646397c7d6b97248fd04bae0
78,6463f9d9d6b97248fd04bb7e,ple7_t8,49980,249872,9.99887889153209,-0.21521232598951814,0.06586084457549857,646397c7d6b97248fd04bae0
79,6463f9fdd6b97248fd04bb80,ple7_t9,49984,250427,10.020358756175888,-0.22938982783368073,0.04328880490880385,646397c7d6b97248fd04bae0
80,6463fa1cd6b97248fd04bb82,ple8_t0,49985,250213,10.011448854195189,-0.33181122350776165,0.5877829569504032,646397c7d6b97248fd04bae0
81,6463fa3cd6b97248fd04bb84,ple8_t1,49992,249815,9.994238501275657,-0.3317266303766987,0.4814572082988538,646397c7d6b97248fd04bae0
82,6463fa5bd6b97248fd04bb86,ple8_t2,49989,250082,10.005465724838237,-0.3364192401218409,0.38985975910822857,646397c7d6b97248fd04bae0
83,6463fa7bd6b97248fd04bb88,ple8_t3,49992,249468,9.980364575875434,-0.3321044794235586,0.3084188823505729,646397c7d6b97248fd04bae0
84,6463fa9bd6b97248fd04bb8a,ple8_t4,49992,249844,9.995406774440566,-0.3349774479433692,0.23608078080291778,646397c7d6b97248fd04bae0
85,6463fabbd6b97248fd04bb8c,ple8_t5,49991,250096,10.005576883039309,-0.33727716751483444,0.18414012544682073,646397c7d6b97248fd04bae0
86,6463fadbd6b97248fd04bb8e,ple8_t6,49991,249683,9.989069453180573,-0.3455003189335023,0.1340060893091167,646397c7d6b97248fd04bae0
87,6463fafcd6b97248fd04bb90,ple8_t7,49992,250417,10.018243109710298,-0.34453140370100155,0.09595984258311652,646397c7d6b97248fd04bae0
88,6463fb1ed6b97248fd04bb92,ple8_t8,49994,250021,10.002064481694045,-0.35152367709387133,0.0609856986716617,646397c7d6b97248fd04bae0
89,6463fb41d6b97248fd04bb94,ple8_t9,49994,249724,9.99019078704222,-0.3603829181587562,0.04009662614427427,646397c7d6b97248fd04bae0
90,6463fb5ed6b97248fd04bb96,ple9_t0,49993,249480,9.98058136580578,-0.4953281368084804,0.5626630719686443,646397c7d6b97248fd04bae0
91,6463fb7bd6b97248fd04bb98,ple9_t1,49998,249691,9.988015700311408,-0.4944889120917052,0.45983381613488394,646397c7d6b97248fd04bae0
92,6463fb98d6b97248fd04bb9a,ple9_t2,49997,250169,10.007280728379417,-0.4949687190356811,0.37025069831807983,646397c7d6b97248fd04bae0
93,6463fbb7d6b97248fd04bb9c,ple9_t3,49997,249775,9.991647108077029,-0.49805935401827045,0.29275125097455107,646397c7d6b97248fd04bae0
94,6463fbd6d6b97248fd04bb9e,ple9_t4,49998,250474,10.019456798460562,-0.4961428852629071,0.22418795260997615,646397c7d6b97248fd04bae0
95,6463fbf4d6b97248fd04bba0,ple9_t5,49998,249839,9.994023550829052,-0.4949672771250181,0.1754720151422716,646397c7d6b97248fd04bae0
96,6463fc13d6b97248fd04bba2,ple9_t6,49997,250078,10.003632021117976,-0.49474230682826026,0.12668833711414565,646397c7d6b97248fd04bae0
97,6463fc33d6b97248fd04bba4,ple9_t7,49998,250332,10.013664797648506,-0.49672280295633336,0.09044711750787045,646397c7d6b97248fd04bae0
98,6463fc54d6b97248fd04bba6,ple9_t8,49997,250256,10.010744520987611,-0.49737364538973966,0.057612043198984296,646397c7d6b97248fd04bae0
99,6463fc75d6b97248fd04bba8,ple9_t9,49997,250252,10.010664488823064,-0.4972801762096603,0.03751594508204798,646397c7d6b97248fd04bae0
